ticker,game_date,away_team,home_team,home_spread,abs_spread,n_ingame,r_squared,slope,p_value,mean_delta,mean_abs_delta,final_2m_abs_delta,zone_buckets,zone_seconds,zone_pct
KXNBAGAME-26MAR29BOSCHA,2026-03-29,BOS,CHA,1.5,1.5,247,0.15492197584697864,-1.429438977760686e-05,1.404755562984766e-10,-0.04220452731966524,0.04347168783961647,0.00919999999999995,53,1590,21.45748987854251
KXNBAGAME-26MAR31NYKHOU,2026-03-31,NYK,HOU,-1.5,1.5,269,0.5228346886339137,-2.403085481215082e-05,8.509963238845892e-45,-0.03457959421461851,0.03738035367789866,0.009222222222222222,22,660,8.178438661710038
KXNBAGAME-26APR02SASLAC,2026-04-02,SAS,LAC,3.5,3.5,280,0.7203520916563104,-5.9214411527816584e-05,6.747821610702118e-79,-0.07256680772895156,0.07256680772895156,0.009500000000000022,52,1560,18.571428571428573
KXNBAGAME-26APR04SASDEN,2026-04-04,SAS,DEN,2.5,2.5,343,0.10520936097251284,-1.1839991006220617e-05,7.630398032388159e-10,-0.05088518334492031,0.061518531815331,0.031000868812812592,91,2730,26.53061224489796
KXNBAGAME-26APR07MILBKN,2026-04-07,MIL,BKN,2.5,2.5,262,0.0002966109483426088,-5.858863846210367e-07,0.7814296090148092,0.01294340866976152,0.04692447975367624,0.047131350160118025,134,4020,51.14503816793893
KXNBAGAME-26APR10LACPOR,2026-04-10,LAC,POR,-1.5,1.5,273,0.1269720252982328,-1.1325399317795715e-05,1.3557813608076832e-09,-0.019617075141008834,0.0410753405558159,0.009181818181818145,127,3810,46.52014652014652
KXNBAGAME-26APR12ATLMIA,2026-04-12,ATL,MIA,-4.5,4.5,245,0.7549850322118679,-8.730106659139551e-05,3.5979107575742775e-76,0.09060453594613684,0.09400535633313119,0.009375000000000012,0,0,0.0
KXNBAGAME-26APR12NOPMIN,2026-04-12,NOP,MIN,-5.5,5.5,290,0.8015187153491795,-4.1681076515666066e-05,3.9008287703523564e-103,-0.057206897753277045,0.05930903843058798,0.007796593595223648,14,420,4.827586206896552
KXNBAGAME-26APR14MIACHA,,,,,,328,0.085536904491776,1.621539969953656e-05,6.852511754365497e-08,0.015911526318388658,0.05152412468504049,0.09037246677335123,106,3180,32.31707317073171
KXNBAGAME-26APR18HOULAL,,,,,,309,0.4630910113324923,-2.9392736957244344e-05,2.308463391782557e-43,0.055679278271712096,0.056223394039567824,0.008333333333333325,169,5070,54.69255663430421
KXNBAGAME-26APR19ORLDET,,,,,,299,0.0004257695586735912,1.2347674562252156e-06,0.722333598186843,0.06654505614805262,0.06964878608501839,0.004459835091594969,152,4560,50.836120401337794
KXNBAGAME-26APR19PORSAS,,,,,,286,0.07708098215332157,-4.5343906143477225e-06,1.8537877134943675e-06,0.005880805247343402,0.011885489185330448,0.008999999999999968,0,0,0.0
