game_ticker,side,entry_price,entry_game_seconds,entry_period,first_exit_price,first_exit_game_seconds,partial_qty,remainder_qty,final_exit_price,final_exit_game_seconds,exit_type,contracts,gross_pnl,net_pnl,max_adverse_excursion,max_favorable_excursion,hold_time_sec,abs_spread
KXNBAGAME-26APR03NOPSAC,fav,0.3598782436703191,2723.0,4,,,0,100,0.1734899977469732,2820.0,stopped_out_full,100,-18.63882459233459,-19.30882459233459,0.1734899977469732,0.4589044740342698,97.0,5.5
KXNBAGAME-26APR03NOPSAC,dog,0.3067400707825403,0.0,1,,,0,100,0.29912588347659996,28.0,stopped_out_full,100,-0.7614187305940305,-1.5114187305940305,0.29912588347659996,0.3067400707825403,28.0,5.5
KXNBAGAME-26APR04DETPHI,dog,0.3516335507958732,0.0,1,,,0,100,0.33617337778917666,278.0,stopped_out_full,100,-1.5460173006696536,-2.3460173006696534,0.33617337778917666,0.43688870151770653,278.0,3.5
KXNBAGAME-26APR04SASDEN,fav,0.3947655116110304,3011.0,5,,,0,100,0.2161815040680418,3042.0,stopped_out_full,100,-17.85840075429886,-18.578400754298862,0.2161815040680418,0.3947655116110304,31.0,2.5
KXNBAGAME-26APR04SASDEN,dog,0.3987114399544678,124.0,1,,,0,100,0.29946380952380947,591.0,stopped_out_full,100,-9.924763043065834,-10.714763043065833,0.29946380952380947,0.41824589594371564,467.0,2.5
KXNBAGAME-26APR04SASDEN,dog,0.3604154063319218,685.4,1,,,0,100,0.33300099942457373,693.2,stopped_out_full,100,-2.7414406907348123,-3.5414406907348126,0.33300099942457373,0.40258658643968304,7.800000000000068,2.5
KXNBAGAME-26APR04SASDEN,dog,0.3873907583041012,1626.0,3,,,0,100,0.31479484002623714,1675.0,stopped_out_full,100,-7.2595918277864016,-8.059591827786402,0.31479484002623714,0.3873907583041012,49.0,2.5
KXNBAGAME-26APR04SASDEN,dog,0.3716912392333359,2716.0,4,,,0,100,0.3281661091694541,2716.0,stopped_out_full,100,-4.352513006388186,-5.152513006388186,0.3281661091694541,0.3716912392333359,0.0,2.5
KXNBAGAME-26APR05CHAMIN,dog,0.36307814289489904,23.0,1,,,0,100,0.3267234379641548,62.0,stopped_out_full,100,-3.635470493074422,-4.435470493074422,0.3267234379641548,0.3728676939910641,39.0,2.5
KXNBAGAME-26APR05CHAMIN,dog,0.39636099150471316,1057.0,2,0.5172567073326684,1449.0,25,75,0.010000000000000009,2880.0,held_to_loss,100,-26.814681467154607,-27.23468146715461,0.009999999999999787,0.5172567073326684,1823.0,2.5
KXNBAGAME-26APR05HOUGSW,fav,0.3814102494177707,2863.9,4,0.8671413088437795,2863.9,25,75,0.99,2880.0,held_to_win,100,58.47750777931742,58.05750777931742,0.3814102494177707,0.99,16.09999999999991,3.5
KXNBAGAME-26APR05HOUGSW,dog,0.3911164482522623,137.0,1,,,0,100,0.3306157654103482,813.0,stopped_out_full,100,-6.050068284191418,-6.860068284191418,0.3306157654103482,0.46975822328400474,676.0,3.5
KXNBAGAME-26APR05HOUGSW,dog,0.3758475590830489,1225.0,2,,,0,100,0.33106836728703093,1259.0,stopped_out_full,100,-4.477919179601798,-5.287919179601798,0.33106836728703093,0.3758475590830489,34.0,3.5
KXNBAGAME-26APR05HOUGSW,dog,0.1328586911562205,2863.9,4,,,0,100,0.010000000000000009,2879.9,stopped_out_full,100,-12.285869115622049,-12.51586911562205,0.010000000000000009,0.1328586911562205,16.0,3.5
KXNBAGAME-26APR05LALDAL,fav,0.3945535759349922,248.0,1,0.5092026498523425,373.0,25,75,0.01,2880.0,held_to_loss,100,-26.83529134719065,-27.255291347190653,0.01,0.5192912416461485,2632.0,1.5
KXNBAGAME-26APR05MEMMIL,dog,0.2799999999999999,0.0,1,,,0,100,0.27880715705765413,31.0,stopped_out_full,100,-0.11928429423457843,-0.8392842942345784,0.27880715705765413,0.2799999999999999,31.0,5.5
KXNBAGAME-26APR05MEMMIL,dog,0.3994953825857519,171.0,1,,,0,100,0.3328721047331319,193.0,stopped_out_full,100,-6.662327785262001,-7.472327785262,0.3328721047331319,0.4077805178791615,22.0,5.5
KXNBAGAME-26APR05ORLNOP,fav,0.3549981537552617,1504.0,3,,,0,100,0.3380772874932322,1639.0,stopped_out_full,100,-1.6920866262029577,-2.5020866262029577,0.3380772874932322,0.4503324132965318,135.0,4.5
KXNBAGAME-26APR05ORLNOP,fav,0.3912305295950155,1878.0,3,,,0,100,0.3277883831917122,1981.0,stopped_out_full,100,-6.344214640330328,-7.154214640330328,0.3277883831917122,0.3974470422093205,103.0,4.5
KXNBAGAME-26APR05ORLNOP,fav,0.3983761482173439,2035.0,3,,,0,100,0.3256515486725663,2268.0,stopped_out_full,100,-7.27245995447776,-8.082459954477761,0.3256515486725663,0.4436394979259817,233.0,4.5
KXNBAGAME-26APR05ORLNOP,dog,0.289927494199536,19.0,1,,,0,100,0.2902624587729147,43.0,stopped_out_full,100,0.033496457337868435,-0.7065035426621316,0.289927494199536,0.2902624587729147,24.0,4.5
KXNBAGAME-26APR05ORLNOP,dog,0.3986389496717725,586.0,1,,,0,100,0.33549398264763497,663.0,stopped_out_full,100,-6.314496702413756,-7.134496702413756,0.33549398264763497,0.4095534032822168,77.0,4.5
KXNBAGAME-26APR05ORLNOP,dog,0.3590073536718673,2533.0,4,,,0,100,0.3138497889231934,2539.0,stopped_out_full,100,-4.515756474867395,-5.305756474867395,0.3138497889231934,0.3590073536718673,6.0,4.5
