stop_loss,sell_pct,trail_dist,entries,mean_pnl,median_pnl,std_pnl,win_rate,annual_ev,sharpe,max_loss,max_win
0.34,1.0,,597,-1.274121111151702,-5.233532534658359,10.319248213002794,28.14070351758794,-2530.891009353356,-0.1234703424951289,-28.630982531449355,47.94310594260088
0.34,0.75,0.05,586,-1.1633766868195927,-5.13091368491067,10.404132092321714,28.668941979522184,-2268.3307116574456,-0.1118187155349718,-28.630982531449355,51.3145732215064
0.34,0.75,0.1,571,-1.0466866356869413,-5.152513006388186,10.687014939736974,28.896672504378284,-1988.5713931424648,-0.09794003672579334,-28.630982531449355,51.3145732215064
0.34,0.75,0.15,547,-1.0279488356149855,-5.17008350954067,10.931198652276949,28.884826325411332,-1870.885570798103,-0.0940380710582792,-28.630982531449355,51.3145732215064
0.34,0.75,,433,-1.0385434119188686,-5.101921392404395,11.668695471341717,21.939953810623557,-1496.2389348552585,-0.08900252941466578,-20.417648662117536,51.3145732215064
0.34,0.5,0.05,586,-1.1973863491634527,-5.161298257964428,10.784602340445737,28.327645051194537,-2334.6421329380064,-0.11102739919049845,-28.630982531449355,54.686040500411906
0.34,0.5,0.1,571,-1.0357607673962932,-5.17008350954067,11.51754177540884,28.546409807355516,-1967.8136339552884,-0.08992897856101126,-28.630982531449355,54.686040500411906
0.34,0.5,0.15,547,-0.9865996138421684,-5.175145370172619,12.129852737692072,28.336380255941503,-1795.6292353675437,-0.0813364873570499,-28.630982531449355,54.686040500411906
0.34,0.5,,433,-0.8150595162139919,-6.24482933743851,16.015831397361506,16.859122401847575,-1174.2636546414635,-0.050890865169089326,-20.417648662117536,54.686040500411906
0.34,0.25,0.05,586,-1.2312936224288142,-5.172614439856645,11.420409734622654,28.15699658703072,-2400.7539178549305,-0.10781518798716708,-28.630982531449355,58.886310552901044
0.34,0.25,0.1,571,-1.024484636408622,-5.178454686795379,12.785320858330198,27.845884413309985,-1946.3904202226568,-0.08012975565968102,-28.630982531449355,58.886310552901044
0.34,0.25,0.15,547,-0.9450858582485103,-5.246066254956813,13.883429380709321,24.862888482632542,-1720.0734453915295,-0.06807294021761537,-28.630982531449355,58.886310552901044
0.34,0.25,,433,-0.591552525820894,-6.282595992770204,21.319075837355776,16.628175519630485,-852.2551017003966,-0.027747568906545287,-27.871235428984985,58.05750777931742
0.36,1.0,0.05,644,-1.4084976114170493,-4.075550047261858,9.008078193682554,23.4472049689441,-3018.077463649493,-0.15635938999784008,-28.630982531449355,47.94310594260088
0.36,1.0,0.1,644,-1.4084976114170493,-4.075550047261858,9.008078193682554,23.4472049689441,-3018.077463649493,-0.15635938999784008,-28.630982531449355,47.94310594260088
0.36,1.0,0.15,644,-1.4084976114170493,-4.075550047261858,9.008078193682554,23.4472049689441,-3018.077463649493,-0.15635938999784008,-28.630982531449355,47.94310594260088
0.36,1.0,,644,-1.4084976114170493,-4.075550047261858,9.008078193682554,23.4472049689441,-3018.077463649493,-0.15635938999784008,-28.630982531449355,47.94310594260088
0.36,0.75,0.05,634,-1.333771964110699,-4.046092659398626,9.03868192763184,23.817034700315457,-2813.5798330918456,-0.14756266176744987,-28.630982531449355,51.3145732215064
0.36,0.75,0.1,621,-1.3269810190659341,-4.06875023901393,9.2456097744671,23.832528180354267,-2741.856435449272,-0.14352552740551056,-28.630982531449355,51.3145732215064
0.36,0.75,0.15,599,-1.3366173649508548,-4.06875023901393,9.421544196097834,23.87312186978297,-2663.92701261487,-0.14186818393363246,-28.630982531449355,51.3145732215064
0.36,0.75,,496,-1.2500138444307458,-4.071280876803624,10.133379649722364,17.741935483870968,-2062.931938750726,-0.12335606556150236,-20.417648662117536,51.3145732215064
0.36,0.5,0.05,634,-1.3744628939856665,-4.047636795290748,9.359778670561113,23.501577287066247,-2899.416979745545,-0.14684779868873418,-28.630982531449355,54.686040500411906
0.36,0.5,0.1,621,-1.342752065741893,-4.073811514593318,9.947901277817273,23.349436392914654,-2774.443145583745,-0.13497842693072182,-28.630982531449355,54.686040500411906
0.36,0.5,0.15,599,-1.3455918267589209,-4.073811514593318,10.38886202399857,23.372287145242073,-2681.813441342412,-0.12952254285893539,-28.630982531449355,54.686040500411906
0.36,0.5,,496,-1.1481032632781731,-4.616491225589831,13.861696745084544,14.516129032258066,-1894.746127295149,-0.0828255937488532,-20.417648662117536,54.686040500411906
0.36,0.25,0.05,634,-1.4150434137659966,-4.058662257707056,9.91738494911212,23.34384858044164,-2985.0212173083355,-0.1426831186877224,-28.630982531449355,58.886310552901044
0.36,0.25,0.1,621,-1.358233257345388,-4.103572302091189,11.03993769363385,22.705314009661837,-2806.4309466273075,-0.12302906909779115,-28.630982531449355,58.886310552901044
0.36,0.25,0.15,599,-1.3543993436588067,-4.108004387227908,11.845477309973278,20.534223706176963,-2699.367142797226,-0.11433894204655413,-28.630982531449355,58.886310552901044
